driver,text,grand_prix,conference_type,team
Sergio Pérez,"Yeah, it was a little hectic as always with Charles, you know, good racing. We were fighting each other really hard. I tried to make a move at the end. I think he locked up and went off, which was fair race, Yeah, certainly a great result here for Honda, for all the Japanese fans that have been amazing. It's a great day for our team, you know, now that Max becomes champion, it's certainly a massive day for all of us. Yeah, it was certainly nice and we have to keep the momentum going until the end of the season. Yeah, it was a nice battle again. I think it was really tricky to overtake without DRS. I had to place it into 11 and out of 14 on the way to 17 on the back straight but those places were where Charles was actually strong. I could see that he was managing well his race, his tyres once he ran out of them. And he was making it really hard, you know, so I knew that the only way I could get him was if I push him into a mistake, and yeah, towards the end, I thought there was one more lap left so when he went off, I thought that was going to be the opportunity. But it didn't happen and we managed to get a good result for the team. And a great one-two. Well, I think Max has had an incredible season: a lot of respect for him. I've said it before: I don't feel like Red Bull have had a dominant car, to have won the championship the way Max won it, so I think he definitely pulled a gear or two compared to anyone else. I think in the beginning I was a lot closer to him; once he got quite comfortable with the car and I was more uncomfortable with it, he was driving at another level compared to everyone you know. The races that he did were sometimes incredible, incredible to watch so yeah, a lot of respect for him. Very happy for him and for my team. You know it's a massive achievement to have won the championship here. One-two for Honda as well so it's definitely a very special day for the whole team. In any conditions which should never see a crane on track while the cars are out there. You do not really know what can happen there. It doesn't matter (about) the conditions; it should just never happen and I really hope that this is the last time we get to see in any category the recovery vehicles on track while there are cars out there. I think the first time, when we were on laps to the grid, the track was looking alright, even for inters, but I think it picked up before the race start and especially, I think, during the first lap it picked up even more. So yeah, I think in that regard it was right to stop the race, to start the race at the times we did, but what is really low and was the lowest thing I've seen in years was two crane vehicles out there.",Japan,post-race,Red Bull
Charles Leclerc,"Well, from lap five onwards to be honest, it was all downhill, really struggling with the tyres. A bit like the last race, no. We are very strong warming up the tyres but then after three four laps we just destroy them. So yeah, a struggle this time. A huge congratulation of course to Max for his second World Championship. And yeah, we'll keep pushing until the end. It's obviously frustrating today. The pace was not quite there after four laps. But it's like this. Exactly. That's the goal. I mean, I think Max's title this year was just a matter of time, really. So we expected him to win the world title. Now we need to use those last races in order to become a better team and hopefully, yeah, put him a bit more of a challenge next year. Well, I don't have much to say. Yeah, I did a mistake, tried to minimise it obviously by trying to go straight… I was not aware this was the last lap but five seconds penalty was the right thing to do to be honest. Yeah, we were very fast for four or five laps but unfortunately the race was a bit longer than that and the front were just gone after four or five laps and after that it was all about trying to survive until the end of the race. The end of the race was extremely difficult. Obviously Checo was putting quite a bit of pressure behind and I was really, really struggling with both of my front tyres so yeah, at the end, I ended up making a mistake but we were really, struggling today. Yeah, it was fun. It was close. It didn't last too long. But yeah, it was nice. Of course, a huge congratulations to Max and to Red Bull. They've done an incredible job this year. Yeah, Max has just been incredible and it's a title fully deserved and on our side, we'll try to push for the last four races this season to improve as a team and to hopefully put more of a challenge next year. Yeah, we shouldn't see these type of things. Of course, something happened in 2014 and we all know that and I think we should all learn from it. So yeah, Max said it very well. Once you are first, it's actually quite OK but once you are behind you don't see anything. And whenever you try to have a bit more visibility, you can get surprised by having a crane in the middle of the track. So yeah, it shouldn’t happen and I really hope we learn from it and that these things we don't see them again. Then for the conditions, they changed quite a lot, actually, from the laps to the grid to the actual first lap. There was much more rain, much more standing water and the visibility especially was extremely poor. That changed pretty quickly. I think a big problem of these cars is just the visibility. So whatever we can do to try and improve the visibility and minimise the spray, especially behind the cars, this will be hugely beneficial because I believe that sometimes we can actually run for the conditions of the track but just because of the visibility, because it's so dangerous being behind and you don't see anything, that we end up not running at all. But yeah, we should try and find a solution, for some reason, to try and minimise the spray.",Japan,post-race,Ferrari
Max Verstappen,"It was pretty incredible to drive here again, and especially in qualifying, when you're on low fuel these cars really come alive through the first sector. So yeah, of course very happy to be on pole, but also in general, just super happy to be back here. I lost a part, a part of the duct on my final lap, so probably that's why I couldn't really improve. But nevertheless, the first lap was good enough. Yeah, I was just, you know, driving quite slow and I wanted to accelerate but my tyres were quite cold. So then I had a big moment. And then of course, Lando was trying to pass me at the same time, so he had to avoid me a little bit, but luckily, nothing happened. Yeah, it will be interesting first of all to see the weather. I mean, some say it's going to be dry, some say it's going be raining at some point during the race, so we just need to see what happens with that. And I'm quite confident we have a good car so yeah, excited for tomorrow. Yeah, it was, I think a pretty good lap at the time. Of course, you know, there's normally always a bit of track evolution going on after every run. But at the time, I think it was a good lap. The balance of the car was quite good. So then, of course, it's really enjoyable to be pushing here, especially through that first sector. Yeah, it's all about just finding the right balance for that first sector. And, you know, once the car is hooked up there, you get a lot of confidence and you can really push it through this combination of corners, and it's definitely one of the best on the calendar. Yeah, we were all on our out lap. And yeah, we were all lining up to try and create a gap to everyone. And somehow he still wanted to get me into the chicane. But I was at the point of accelerating but I was on very cold tyres, so I had like a little moment and that's why you had to drive around me. But you know, if you're just a bit more respectful than everyone is anyway already lining up. I don't think anyone is trying to pass into that last chicane. So basically, by trying to pass me you create that kind of problem. I'm not thinking about it too much. Just taking it day-by-day. I think what was most important is that we would have a competitive car and clearly we had that today in Qualifying, and I hope of course it's going to be the same tomorrow in the race – because we do need a perfect race to be able to win it tomorrow. But at least it's a good start. Of course I knew this already… it was coming. But yeah, of course, this is incredible for him. He's been pushing hard for it for a long time and to finally get that opportunity is amazing for him. But also, I think after Monza, there was no real discussion any more, I think. Helmut is the guy, when he likes something he is daring enough to then put him in the car, right, whereas maybe other teams are a bit more careful. And, yeah, that's great news. We are good friends as well. We had a dinner the day after Monza and I told him, like, just give him [Dr Marko] a call. You never know what happens and it was also the right time to call him, so Helmut is still probably excited on a Monday from the race on a Sunday, so it worked out really well. And I'm very happy for him. Yeah, it was just in the beginning, especially, because our car was very heavily overweight so then you know that once you got really down on fuel, it's just extra painful, I would say. And I think yes, the improvements on the car definitely helped but I still think that our car normally is better in the race than over one lap and luckily with the new regulations even if your car is not - let's say - amazing on a Saturday it doesn't really matter because if you have a quick race car you can still pass on most tracks apart from - of course - a few street circuits but at least it's not all qualifying biased, which I think it's good for the sport as well. I always tend to feel like I want different things for qualifying and the race here, every year of being here, and same in the wet, that's another thing I want from the car, so maybe for me it's been a bit more difficult but I think at the end of the day, you have to find a bit of a middle way and that's, I think, what we agreed on Different things!",Japan,post-qualifying,Red Bull
Charles Leclerc,"Yeah, well, it's a very tricky lap around here because whenever you are first in the first sector, then you lose out in the last sector. And I tried to find that balance in the last lap, but lost a little bit the tyres in the last sector and lost a little bit of time. So yeah, it's so close though with everyone, so that's nice, and we'll try to have a good race from there. I mean, we have a very limited amount of data going into the race so that's always a challenge but the feeling was good with a car, so yeah, let's wait and see about the conditions. It seems we will have a bit of rain somewhere in the race, so yeah, it should be a fun race. Yeah, it's always nice to be here and see so many people passionate about the sport and being so creative, so hopefully we can give a good show tomorrow. The car was good, I was struggling more with the tyres to put everything together, first and last sector especially. The more I was pushing in the first sector, the more I was going slow in the last sector, losing a little bit the tyres. So, it was a tricky one but overall the car felt good. It's incredible. Especially the first sector feels crazy. There's so much grip. And in Q3, once you go for that last lap, it really feels special. So yeah, it was a fun qualifying. Well, I really like the sensation of the street tracks I think it's really fun too. It's a bit of a different thing, but Silverstone I guess is pretty similar on the quali lap. Well, not much data to look at for tomorrow, apart from the few laps that we did this morning, race run in FP3. So yeah, going a little bit into the unknown but it looks like the conditions are also pretty unpredictable for tomorrow. We don't really know whether it’s going to rain or not. Or maybe both. So yeah, we’ll see. No, honestly, there was no big compromises done for tomorrow. Obviously the forecast is predicting a little bit of rain here and there.  We won't know whether it will happen or not but it was very tricky though, to actually have the car ready and in the right spot for qualifying after only FP3 but I think we did a good job on that so it didn't compromise us.",Japan,post-qualifying,Ferrari
Carlos Sainz,"Yeah, it was a very clean lap, a very good laugh all the way until the last corner that I picked up quite a bit of wheelspin, probably used to be too much credit from my rear tyres in that lap and yeah, it's a shame to be half a tenth again from pole you know. It's been so many qualis now with Max and Charles that we are all within half a tenth. And the last half a tenth tends to fall more to the other side. Hopefully, yeah, towards the end of the season this half a tenth falls a bit more to my side and I can get a pole position. Yeah, I think the weather tomorrow is going to play its part. The rain is going to arrive. We don't know if it's going to arrive at two o'clock, three or four, which is after the race. So yeah, I think there's plenty of things that could happen tomorrow. There's also a great opportunity starting in P3, you know. We managed to save also a set of softs in case we need it, so, yeah, I think we are in a good position to fight Max tomorrow. It was a good lap. Clean all the way until the last chicane. There, probably I overcooked a bit a tyre, going into that last chicane and it cost me quite a bit of lap time. But another half-a-tenth that we could have got there but yeah, a bit fed-up of being half-a-tenth off pole. I think it's been a few qualis now, consecutives in Zandvoort, also before the summer break where we are, all three, very tight with each other but somehow it tends to fall into Max or Charles’ hands instead of mine, which hopefully towards the end of the season I will end up getting one and get it out of the way. It was pretty close. I think we managed to hook up a good balance in FP3, which is a good sign. It means we understand the car and we know the baseline set up normally works well in every track now. It’s now a matter of who that last half-a-tenth falls in favour of, which today was in favour of Max. At other circuits, it’s in favour of us. But it's super tight, at least in quali. Here, there's not only track evolution, but a lot of driver evolution and I think especially, when we have a bit of margin in Q1 and Q2, when you really go for it in Q3, you really go down on lap times, like we did. And we went to find that those last two or three tenths from the car that were particularly exciting to find around this track, because you really put yourself on the limit and you put the car properly on the limit with a lot of G-force here. And it’s one of these trucks that gives you just a lot of pleasure to drive in that limit, and it’s the best thing in Q3. You know big compromises apart from obviously having quite a bit of a hectic FP3 to put the car in the right place for qualifying but once quality started, you think about the dry and how to make the car quicker in the dry. Tomorrow, the rain, we don't know if it's going to arrive at two, at three, at four but it looks like it will hit us but you don't know if the rain is going to arrive in the last stint, in the first stint or after the race, which then it's not worth taking any compromises. But yeah, the good thing is that we are both cars up there again, ready to put the pressure on Max and see what… when the rain comes and how we can get both of us ahead.",Japan,post-qualifying,Ferrari
Yuki Tsunoda,"Yeah, it’s amazing. As soon as I landed at the airport there were lots of people, even around the hotels. I went to the grandstands this morning for a bit of filming with Netflix guys, and I think even that, I found there was a lot of people, even though they limited the tickets on Thursday. So far, it’s been great days, definitely the best days I’m having, for sure, definitely in Formula 1. Just looking forward for this weekend. Yeah, I drove a Formula 4, I think it was four years ago. I was driving here and last time in Suzuka I won here – so it’s good memories, definitely it’s a good way to be here at Suzuka. I was driving here in 2m06s – 2m07s, so it’s like 40s difference. So it's a lot of different. And even in the simulator I felt like a lot of things going on fast, much faster than when I used to drive. So, I really like Suzuka, like I said, I was driving here since from 2016. And I drove here more than 10,000 laps or whatever. So I’ve learned a lot of tricks – but at the same time, like I said, it's a lot different when I drive a Formula 1. So, I need a good build-up but still, I think one of the best tracks in my experience. Yes. Well, I think I have to learn lots of things still in, in the rest of five races, from Pierre, for example. And for sure the kind of mistakes I did in Singapore have to definitely reduce, and lots of things for example, penalties, whatever. Also those things is unnecessary. So those things definitely have to improve but at the same time, the pace, especially one lap, I'm quite happy and having good progress so far. So, I'll just keep like this momentum until the next year. And yeah, just for the race, I think just experience more. Definitely, I have to get good back into the normal rhythm or good rhythm, like I had the first half of the season. And I think this will be probably a good opportunity to back into the rhythm. Or, I have to. So yeah, but I think still learning, lots of things lots of things to learn but I seem to have quite good confidence to do that. So far, no. It’s definitely a cool thing and… yeah it's very cool. Currently I don't feel like getting pressure because it’s really hard imagine I'm driving here, because like I said, just four years ago I was one of the spectators watching these guys you know? And now I'm driving in front of them, Japanese fans so yeah, it’s just really hard to imagine but definitely is a cool thing. I didn't expect that to be honest: there's like huge pictures at the grandstand. It feels very supportive and gives me extra energy for that. Yeah, I think like the first time I watched probably was the one when Seb got P1 in the championship with Red Bull. I think I was watching at Turn 1 at the entry. I still remember like lots of Formula 1s just entered Turn 1 with lots of sparks. And I think that was first time I watched Formula 1 since 2007 when I used to not like much Formula 1 because it was too loud, the engine sounds, I was covering my ears. But when I watched probably when Seb got the championship, I got super impressed with Formula 1 and just how they are fast and then lots of things just really surprised me. Yes. What was the question after that? Yes. I forgot to be honest. I don't have much memories. I was in Suzuka when Kobayashi got P3? Probably not, unfortunately.",Japan,thursday,AlphaTauri
Fernando Alonso,"I won once! 2006… only one time… but I won in Fuji also. This place yeah, I think everyone loves Suzuka. The combination again of high-speed corners, a little bit of banking in the corners as well make the feeling really special. The fans are so passionate here. So, the whole weekend is a big thing. And yeah, looking forward with this year's cars to enjoy especially the high-speed. Ha! I've had this question before and I'm not sure I have that memory at the moment to spot one – but I'm sure during this weekend, things will get wild for sure at one point and I will try to put all in the garage like this, so you enjoy as well. No. It was different issues. We have been hit quite badly about reliability this year. We lost a lot of points. And unfortunately, now we are in this battle with McLaren, few points behind and yeah, hopefully we can have a normal five races now and finish on a high. But yeah, has been our weakest point this year. I think so. I think there's going to be some weekends that we can score a few more points than them. Some others, we will score less. I think Singapore was standing out because it was a big loss in points there. But I think it's going to be very, very tight until Abu Dhabi. I don’t know. It’s a difficult topic from our side, driver point of view. I think is not really relevant here and we rely on our teams to really control everything they do. But yeah, I guess we all expect from FIA to police as good as possible all these things because we want to race on a fair environment and things. But it is a very… I think it's a very difficult topic, because there is a lot of things that we need to make sure that they are controlled. The budget cap is one thing, but there are many teams with different structures, with different things, with their own circuit in their own factories. Things that we need to control a lot. So, it has to be really well done. Yeah, I mean, we are maybe not completely safe until the end of the year. So, it is possible that we may have to introduce a power unit but yeah, I don't think that there's going to be this weekend but… soon. Very high, to be honest. As I’ve said a few times, I have a lot of trust in Mohammed, the President, and his team. I think there are still a few things on the race weekends and consistency and other topics that we face, yeah, race after that we are improving, but they are willing to learn and to improve as well. So that's very positive, maybe compared to the past. And yeah, as I said, on other things, outside racing, off-track, I trust completely what they are doing and what will be the outcome next week, I think on this cost cap and how the sport is moving to the future. So I think I have no doubts on anything.",Japan,thursday,Alpine
Kevin Magnussen,"Nothing really! We were in Tokyo, me and my physio, so pretty quiet really, had some sushi, and watched a movie. Not too exciting. Yeah, it's always great being here. It's been a couple of years now. And, you know, it's certainly one of the best tracks that I know. So, looking forward to getting back out there in a Formula 1 car again. And yeah, hopefully we can have a strong weekend. Yeah, well, I mean, it was a good Saturday. Qualifying was decent, you know, started in sort of Intermediate conditions, and then dried up. And we had this shootout at the end of Q3 on slicks in this damp, mixed track, which was really, you know, fun. And we got a decent qualifying, but then in the race, it was another… you know, wild conditions, mixed conditions. And one of those races where I think everyone has an opportunity to score points and we didn't, so that's disappointing. I got a terrible start, lost a lot of positions and then damaged my front wing. So got the black and orange flag, had to go and change the front wing and kind of just was stuck there the rest of the race. It's tough, because we're struggling a bit to score points at the moment. So, even though there's not that many points between us teams down there, it's hard to go and get those points and beat the other team. So yeah, we’ll have a chance and I think we're going into some circuits that should be better for us. So, you know, nobody's given up on beating those. We've been P7 in the Constructors’ for most of the year. And that would be a great position to get, you know, coming from a couple of seasons where Haas had been the last team in the Constructors' Championship, be able to be really cool to jump a few positions. So that's what we'll try.",Japan,thursday,Haas
Nicholas Latifi,"I think just to experience the track for the first time really. I mean, I've obviously heard so many great things about the circuit from different drivers, I’ve watch the races here, obviously many years. But yeah, the previous two years, just not having the experience to come here. So, you know, on the calendar this year, both Singapore and Japan, the first time, the circuits that I was, let's say, with the exception of getting my home grand prix, the ones that I was most looking forward to. I walked the track this morning and it's a bit different to be there in person, than when you're watching it on TV. It’s much narrower in places, much more banking as well than I would have thought. So yeah, quite excited to drive tomorrow. If it's not a wash-out tomorrow! Yeah. I mean, when I went to the media pen afterwards, I had obviously not seen the incident. So ,it's difficult to comment on. I mean, at the end watching all the different on-boards, I think, if you're going off the rulebook, I mean, it's clear he came up alongside me, and I didn't leave him enough space. I think the things that were maybe not considered, which is as well, maybe one of the frustrations that I didn't have a chance to go to this stewards, because they didn't ever summon me, like normally happens when there's an incident between two drivers. I was taking the same line I was taking every single lap beforehand. And I did actually look into my mirrors, both ways. You see from the onboard that I glanced in both directions but the problem was, just because of the difference in lines, he was driving in the blind spot of the mirror the whole way down to the corner. So, in that sense, I mean, as drivers we all know, there's a massive blind spot in the car. And again, I did look, so if he's driving in a place where I can't see him, when I do make an effort to look, and I just then take my normal line, it's, yeah… obviously, he ended up being there. But if I can't see him, because he's driving in a place where he should expect I can't see him, especially on a street track in the wet… so yeah, it's tricky. I mean, if I would have got penalised anyways, in the end, after being able to at least give my side of the story, I know, doesn't really make much of a difference and I would have accepted that. But yeah, I guess just not being able to go to the stewards and give my side of the events and give different points that I think weren’t considered. That was probably a bit frustrating, especially when we just want… we're always talking about the consistency amongst decisions and penalties and whatnot. Yeah, I mean, to be honest, at this point, because, as I said last weekend, I’m still kind of just evaluating all the options. I'm obviously considering everything. But yeah, I just don't really have much to say at this point. So yeah, when I decide what I'm doing then I'll update everybody.",Japan,thursday,Williams
Sebastian Vettel,"Yes! Well, I’ve always loved the track. I think it stands out. It's my favourite track in the calendar. And the calendars have, you know, changed over so many years, and the tracks have disappeared… while they're there but they’re not on the calendar anymore… and we've added other tracks but, I don't know, from the very first time this has been a special place for me. I think just the layout of corner, the first sector. It's iconic, it's a figure eight track, the only one we have, plus then the atmosphere you know? The attention the sport gets when we come here is crazy. So yeah, lots of very nice memories. And I didn't think you know, the other races obviously, I'm know that it will be my will be my last time in other places too but here it does feel a bit different somehow. But I look forward to the sessions that we have, every single one of them, and the race on Sunday. I got a little horse this morning! Not a real horse. But yeah. I mean, they are very attentive, and they come up with very thoughtful gifts as well. Nice letters and nice messages. Their stories and especially, you know, this year, it’s only the beginning of the weekend but how they started maybe following the sport, following myself and yeah, they are probably as sad as I am to realise it's my last race here, but equally as happy that we've got this weekend ahead of us. Yeah, along the same lines, I think. We try to control our driving and I think we know when we are right, and when we are wrong, in terms of being fair, giving enough space. We've just listened to Nicholas and shit happens as well. But we try to obviously, you know, be fair most of the time. And I think that's the same for any governance of the sport. It’s to supply the fairness, or to ensure the fairness is there across the team, across the year, across the season, across the sport. The FIA is in charge of that, and we have to trust them of doing the job. And if you fail to comply with the rules, then then there should be consequences. I mean, it's a complicated or complex matter, probably and we're not the best judges to understand. But yeah, I think the art is to break it down, make it simple and make it clear, so we'll see what happens. Not much story, I was gifted it just before. So, yeah, I think I have the same headband at home because I bought it many years ago but never wore it, so it reminded me and I said okay, it's probably time to wear. I know it says Ichiban. You can ask Yuki what it means! YT: It’s number one. SV: Technically, it’s wrong, because I’m number five. So, maybe Yuki can help me doing the signs. YT: Last time I saw you I think you won in Suzuka, many, many years, you take the championship, so it’s right! I guess they're racing in Suzuka as well, so I don't know. Never say never. I mean, it is a great track for many, many reasons. And yeah, who knows what the future brings? I don't know. Obviously I love driving and I think around this track I always felt very alive and the passion feels very alive. So yeah, we will see what type of car maybe in the future will come up. Maybe one of the guys, in the future, who races here will feel a bit sick, I don't know. I don't wish them to feel so, but I wouldn't mind jumping back in for a race in Suzuka at any time. But yeah, obviously. We'll see what the future brings. At the moment, I have no plans. But I think there are some exciting races happening in Japan and I don't know, we'll see. About a one race career in the future? Yeah. If anybody's happy to sign up a driver for a single race. I'm sure those guys wouldn't be happy to step aside but it would be something I would seriously consider. Well, I think it has been a different vibe. Obviously, I made my debut in Indianapolis five years before that, but I think there's been a different vibe in Austin, right from the get go. And it's been really exciting because the whole city was happy to have the race and welcomed us. Obviously, the interest across the US has grown in the last couple of years. But I think Austin has always been exceptional. So probably more a question for Austin, how they handle it now with more requests or people. But I also feel that Austin isn't your typical America, if such a thing exists. So I think for us, it's been great to go there right from the start. And it's been a highlight of the season for many years now, for 10 years. Well, I think you have to have a level of trust. Otherwise, it puts, or it shakes up everything that exists in your world, when you talk about racing. For us, you know, we want to be treated fairly when we race others and be judged upon it. You have to trust that, you know, there are regulations in place that allow everybody to have the same chances to win. Now, of course, only one team, one driver can win at the time but if you start to doubt that I think… I don't know what will be next. But certainly I think with that comes a very high responsibility. First, you have to do your job. But second, obviously, everybody's watching and everybody expects you to do the best job possible. So, it should be at the highest level possible, which sometimes we've learned or seen we miss from a drivers point of view when it comes to decisions, the decision-making progress, There is a will to learn. Our sport is also complicated; it is not that straightforward. It's not black and white, many times. So it's probably not an easy position to be in. But there's many aspects to it. On the other hand, it's a big business and it has to be controlled and it has to be controlled by an independent body. So you can’t think of that body not being independent or, you know, falling for either side. So, I think it's a given that you have to trust the governing body.",Japan,thursday,Aston Martin
Max Verstappen,"Yeah, very much. Looking forward to it. I mean, it's been off the calendar for a while, but it's an amazing venue, amazing track. And, of course, also amazing fans in general. You know, they're very crazy about Formula 1. So I think we're all very happy to be here. And of course, for us, it's extra special, you know, with Honda involved. Yeah, we're hoping for a good weekend. It would make it a little bit, you know, extra special because of our relationship with Honda. I think it was already a shame that we couldn't be here last year, you know, in a title fight. So that's why we're really looking forward to being back here. And then we'll see what happens. We need a perfect weekend, that's for sure. Yeah, they're very passionate; crazy, but in a good way. And they really dress up for it as well. I mean, you see quite a few people walking around with a DRS rear wing on their head, for example. It just shows you how popular motor sport I think is, in general, in Japan. I mean, I arrived in Tokyo and I turned on the TV and the first thing that popped up was just racing again, a different category, but yeah. Great culture. And that's why I think we all love coming here. Yeah, it's great to see the full name back on the car. HRC was already on the car so Honda never really left. And of course it makes it extra special that they are back on the car, just before their home Grand Prix. And yeah, we've been working really well together. It's been really enjoyable. In terms of working relationship compared to last year, not a lot has changed anyway, so yeah, just very happy that the name is back, more prominent, and about the future, it's too early to talk about that right now but I think in general, the Honda name for F1 is great and it would be very nice to see them come back again. I remember I was literally on fire at the end of the session, so that was good! Yeah, it was nice. To do your first outing in an F1 car around Suzuka is probably not normally straightforward, but Red Bull wanted me to do it, and yeah, I remember the very first time I drove out, I couldn't believe how much power I had. So that was a bit of a shock to the system, but overall, very good memories of driving the car and trying to just understand the basics of a Formula 1 car and then of course, in all those years after that… to be honest, I think what helped the most is just experience and good moments, bad moments you've had in Formula 1. I think they make you a better driver, just knowing how a weekend works, knowing how to deal with Friday, Saturday, Sunday. Now, it all feels very easy. Of course, when you just start in Formula 1 it's all very unknown and at the time, I only had one year of single seater experience as well so all of that. Yeah, if I compare myself as a driver now to then it's a very big difference. It's not rocket science. I mean just pay attention to the fuel level. So there is not much to really change. When you fuel the car for five laps, you can do five laps, you're not going to be able to do six laps. You can talk about it for hours but it's not going to suddenly change anything. But it's not only that. We had a very poor Friday in terms of amount of laps so also there, I think a few things went wrong because when we made changes to the car we couldn't really test of course, because it was wet. Carried that on into the race. So yeah, just very messy weekend and I think that was just a prime example of how you don't want a weekend to go. So you learn from that. But there's nothing like it suddenly needs to change in the team. We all know that it was a bad weekend but we also have shown this year that we've had a lot of very good weekends, so we know how to do it. Yeah, that's right, it's not a surprise. You know, they tell me. It's not like… I know what's going to happen. I mean, it's just great to have the name back on the car. Who knows what is going to happen in the future? I don't know. I'm also probably not the right person to speak about potential things that can happen in the future, right, but it's nice to have the full name back on the car. It would be very nice if it happens here but if it doesn't happen here, I will be even more in favour the next race. So it doesn't really change anything, you just want to have a good weekend and try to maximise everything you can. And of course, I need a perfect weekend to be able to clinch the title here. But to be honest, I'm not really thinking about it too much. To be honest, I'm not really busy with these kinds of things. I mean, it's up to the teams and with the FIA, and I just have to focus on the driving. So not much more to say on that. I guess we'll find out on Monday.",Japan,thursday,Red Bull
George Russell,"He’s always got a smile on his face! Yeah, I mean, it was very exciting coming here in 2019. As the guys just touched on, the fans are obviously so enthusiastic, and it’s always a pleasure to come here. But obviously, the circuit itself is one of the greats and that is always, you know, a real joy to drive around the circuit. I think all of it, to be honest. I think obviously, the first sector with the ‘Esses’ and that flow of corners. It is truly iconic. And it's definitely, you know, a top-five circuit for probably all of us. So it's going to be, you know, a fun Saturday I think in qualifying. We'll see what the weather's like on Sunday. Obviously, it was a unique race when we were here in 2019 because we had the typhoon on Saturday. So let's see if we have a bit more of a normal weekend. Yeah, definitely difficult. I think it was never going to be straightforward starting from the back in those conditions. You know, we made some bold decisions. Obviously, everything's easy in hindsight, and perhaps a little bit too risky, all in all. But yeah, we knew it wasn't going to be straightforward. And that's what happens when you have a bad qualifying on a circuit like that. To be honest, not really, it’s sort of in line with what we expected. I think these races, especially post-summer break, we're getting a really clear trend of where our car is working well and where it's not working and it’s given us a really sort of clear development direction to go down. So I think it is a shame for us as a team to have not capitalised on that race weekend. I think we all felt that. But for sure, there's still a lot of positive signs to take away, especially that we really struggled on three circuits at the start of the year, and arguably that's probably the fastest race weekend we had last week. I mean, I'd love for it to be as competitive as it was last weekend, but I think it's going to be a little bit more of a struggle. I think Ferrari have been very fast in the medium, high-speed corners this year. The Red Bulls have been really slippery down the straights, which obviously, with only the one DRS zone here, they'll probably be in a good place as well. So it's not going to be straightforward, but I think we always show quite good pace on a Sunday. So there's no reason why we can't be in the fight. Firstly, similar to what Max said: it's not my sort of duty to dive into those details and I'll just sit and wait and see what the results are on Monday but I just know from our experience within Mercedes, how hard the whole team has worked to stay within that cost cap. We know we can bring more performance to the table if we had more money to spend and it's as simple as that. And yeah, I trust in Mohammed and the FIA to bring in an appropriate punishment for anyone who's found guilty of the charges accused and it should be quite straightforward. And you'd expect the amount that's gone over should be the amount that's taken off for next year's budget and probably a bit more on top of that as a punishment. Yeah, let’s wait and see.",Japan,thursday,Mercedes
